IpRangeId,Operator,RangeStart,RangeEnd
397,Docomo,49.201.144.1,49.201.159.254
398,Docomo,49.201.128.1,49.201.143.254
399,Docomo,49.201.120.1,49.201.123.254
400,Docomo,49.201.112.1,49.201.119.254
401,Docomo,49.201.0.1,49.201.3.254
402,Docomo,49.201.0.0,49.201.255.255
403,Docomo,49.200.96.1,49.200.111.254
404,Docomo,49.200.72.1,49.200.75.254
405,Docomo,49.200.64.1,49.200.71.254
406,Docomo,49.200.192.1,49.200.223.254
407,Docomo,49.200.192.1,49.200.239.254
408,Docomo,49.200.176.1,49.200.191.254
409,Docomo,49.200.160.1,49.200.175.254
410,Docomo,49.200.144.1,49.200.159.254
411,Docomo,49.200.128.1,49.200.143.254
412,Docomo,49.200.120.1,49.200.123.254
413,Docomo,49.200.0.1,49.200.63.254
414,Docomo,49.200.0.0,49.200.255.255
415,Docomo,27.107.96.1,27.107.127.254
416,Docomo,27.107.64.1,27.107.95.254
417,Docomo,27.107.32.1,27.107.63.254
418,Docomo,27.107.240.1,27.107.255.254
419,Docomo,27.107.224.1,27.107.239.254
420,Docomo,27.107.208.1,27.107.223.254
421,Docomo,27.107.192.1,27.107.207.254
422,Docomo,27.107.16.1,27.107.31.254
423,Docomo,27.107.128.1,27.107.191.254
424,Docomo,27.107.0.1,27.107.15.254
425,Docomo,27.107.0.0,27.107.255.255
426,Docomo,182.156.96.1,182.156.111.254
427,Docomo,182.156.64.1,182.156.95.254
428,Docomo,182.156.48.1,182.156.63.254
429,Docomo,182.156.32.1,182.156.47.254
430,Docomo,182.156.192.1,182.156.255.254
431,Docomo,182.156.188.129,182.156.188.254
432,Docomo,182.156.187.1,182.156.187.254
433,Docomo,182.156.187.1,182.156.187.254
434,Docomo,182.156.185.1,182.156.185.254
435,Docomo,182.156.184.1,182.156.184.254
436,Docomo,182.156.182.1,182.156.183.254
437,Docomo,182.156.180.1,182.156.181.254
438,Docomo,182.156.178.1,182.156.179.254
439,Docomo,182.156.176.1,182.156.177.254
440,Docomo,182.156.172.1,182.156.175.254
441,Docomo,182.156.168.1,182.156.171.254
442,Docomo,182.156.164.1,182.156.167.254
443,Docomo,182.156.160.1,182.156.163.254
444,Docomo,182.156.16.1,182.156.31.254
445,Docomo,182.156.152.1,182.156.159.254
446,Docomo,182.156.144.1,182.156.151.254
447,Docomo,182.156.136.1,182.156.143.254
448,Docomo,182.156.128.1,182.156.135.254
449,Docomo,182.156.127.193,182.156.127.254
450,Docomo,182.156.127.1,182.156.127.126
451,Docomo,182.156.126.1,182.156.126.254
452,Docomo,182.156.124.1,182.156.125.254
453,Docomo,182.156.123.225,182.156.123.254
454,Docomo,182.156.123.193,182.156.123.222
455,Docomo,182.156.123.129,182.156.123.254
456,Docomo,182.156.120.1,182.156.121.254
457,Docomo,182.156.112.1,182.156.119.254
458,Docomo,182.156.0.1,182.156.15.254
459,Docomo,182.156.0.0,182.156.255.255
460,Docomo,14.195.96.1,14.195.127.254
461,Docomo,14.195.64.1,14.195.95.254
462,Docomo,14.195.32.1,14.195.63.254
463,Docomo,14.195.224.1,14.195.255.254
464,Docomo,14.195.220.1,14.195.223.254
465,Docomo,14.195.216.1,14.195.219.254
466,Docomo,14.195.212.1,14.195.215.254
467,Docomo,14.195.208.1,14.195.211.254
468,Docomo,14.195.206.1,14.195.207.254
469,Docomo,14.195.204.1,14.195.205.254
470,Docomo,14.195.202.1,14.195.203.254
471,Docomo,14.195.200.1,14.195.201.254
472,Docomo,14.195.199.97,14.195.199.126
473,Docomo,14.195.199.65,14.195.199.94
474,Docomo,14.195.199.33,14.195.199.62
475,Docomo,14.195.199.1,14.195.199.30
476,Docomo,14.195.128.1,14.195.191.254
477,Docomo,14.195.0.1,14.195.31.254
478,Docomo,14.195.0.0,14.195.255.255
479,Docomo,14.194.248.1,14.194.255.254
480,Docomo,14.194.232.1,14.194.239.254
481,Docomo,14.194.224.1,14.194.231.254
482,Docomo,14.194.208.1,14.194.223.254
483,Docomo,14.194.200.1,14.194.207.254
484,Docomo,14.194.198.1,14.194.198.254
485,Docomo,14.194.196.1,14.194.197.254
486,Docomo,14.194.192.1,14.194.195.254
487,Docomo,14.194.176.1,14.194.191.254
488,Docomo,14.194.160.1,14.194.175.254
489,Docomo,14.194.144.1,14.194.159.254
490,Docomo,14.194.128.1,14.194.143.254
491,Docomo,14.194.0.1,14.194.127.254
492,Docomo,14.194.0.0,14.194.255.255
493,Docomo,14.142.0.0,14.142.255.255
494,Docomo,121.245.96.0,121.245.111.255
495,Docomo,121.245.64.0,121.245.79.255
496,Docomo,121.245.32.0,121.245.47.255
497,Docomo,121.245.16.0,121.245.31.255
498,Docomo,121.245.128.0,121.245.143.255
499,Docomo,121.245.112.0,121.245.127.255
500,Docomo,121.245.0.0,121.245.15.255
501,Docomo,115.118.80.0,115.118.95.255
502,Docomo,115.118.48.0,115.118.63.255
503,Docomo,115.118.44.0,115.118.47.255
504,Docomo,115.118.224.0,115.118.255.255
505,Docomo,115.118.208.0,115.118.223.255
506,Docomo,115.118.204.0,115.118.207.255
507,Docomo,115.118.188.0,115.118.191.255
508,Docomo,115.118.184.0,115.118.187.255
509,Docomo,115.118.176.0,115.118.183.255
510,Docomo,115.118.16.0,115.118.19.255
511,Docomo,115.118.144.0,115.118.159.255
512,Docomo,115.118.108.0,115.118.111.255
513,Docomo,115.117.192.0,115.117.255.255
514,Docomo,115.117.128.0,115.117.191.255
515,Docomo,115.110.64.0,115.110.127.255
516,Docomo,115.110.56.0,115.110.63.255
517,Docomo,115.110.52.0,115.110.55.255
518,Docomo,115.110.248.0,115.110.251.255
519,Docomo,115.110.240.0,115.110.247.255
520,Docomo,115.110.224.0,115.110.239.255
521,Docomo,115.110.192.0,115.110.223.255
522,Docomo,115.110.128.0,115.110.191.255
523,Docomo,115.109.80.0,115.109.95.255
524,Docomo,115.109.32.0,115.109.63.255
525,Docomo,115.109.24.0,115.109.31.255
526,Idea,93.186.22.250,93.186.22.250
527,Idea,49.14.0.0,49.15.255.255
528,Idea,49.14.0.0,49.15.255.255
529,Idea,27.97.0.0,27.97.255.255
530,Idea,27.97.0.0,27.97.255.255
531,Idea,223.196.96.0,223.196.111.255
532,Idea,223.196.128.0,223.196.255.255
533,Idea,223.196.128.0,223.196.255.255
534,Idea,203.145.137.170,203.145.137.170
535,Idea,203.145.134.213,203.145.134.213
536,Idea,203.145.134.204,203.145.134.204
537,Idea,203.145.134.201,203.145.134.201
538,Idea,203.122.19.178,203.122.19.178
539,Idea,202.145.134.213,202.145.134.213
540,Idea,125.19.18.4,125.19.18.4
541,Idea,115.69.128.0,115.69.159.255
542,Idea,115.69.128.0,115.69.159.255
543,Idea,112.110.245.0,112.110.245.255
544,Idea,112.110.0.0,112.110.255.255
545,Idea,106.76.0.0,106.79.255.255
546,Idea,106.66.0.0,106.67.255.255
547,Idea,1.187.0.0,1.187.255.255
548,Idea,1.187.0.0,1.187.255.255
549,Indicom,219.64.175.136,219.64.175.136
550,Indicom,219.64.175.135,219.64.175.135
551,Indicom,219.64.175.134,219.64.175.134
552,Indicom,219.64.175.132,219.64.175.132
553,Indicom,182.156.191.10,182.156.191.10
554,Loop,203.196.249.183,203.196.249.183
555,Loop,203.196.249.171,203.196.249.171
556,Loop,182.19.80.9,182.19.80.9
557,Reliance,115.249.45.248,115.249.45.255
558,Reliance,115.249.44.248,115.249.44.255
559,Reliance,115.249.25.248,115.249.25.255
560,Reliance,115.249.10.248,115.249.10.255
561,Uninor,91.203.96.0,91.203.99.255
562,Uninor,82.145.208.0,82.145.223.255
563,Uninor,80.239.242.0,80.239.243.255
564,Uninor,37.228.104.0,37.228.111.255
565,Uninor,27.123.98.0,27.123.99.255
566,Uninor,27.123.97.0,27.123.97.255
567,Uninor,27.123.96.33,27.123.111.254
568,Uninor,27.123.80.1,27.123.95.254
569,Uninor,27.123.80.0,27.123.95.255
570,Uninor,27.123.72.0,27.123.79.255
571,Uninor,27.123.68.0,27.123.71.255
572,Uninor,27.123.66.0,27.123.67.255
