IpRangeId,Operator,RangeStart,RangeEnd
709,Vodafone,123.63.104.0,123.63.111.255
710,Vodafone,123.63.103.128,123.63.103.255
711,Vodafone,123.63.103.0,123.63.103.127
712,Vodafone,123.63.102.0,123.63.102.255
713,Vodafone,123.63.101.0,123.63.101.255
714,Vodafone,114.31.128.0,114.31.191.255
715,Vodafone,112.79.64.0,112.79.127.255
716,Vodafone,112.79.192.0,112.79.255.255
717,Vodafone,112.79.128.0,112.79.191.255
718,Vodafone,112.79.0.0,112.79.255.255
719,Vodafone,10.84.0.0,10.87.255.255
720,Vodafone,10.82.0.0,10.83.255.255
721,Vodafone,10.80.0.0,10.81.255.255
722,Vodafone,10.76.0.0,10.79.255.255
723,Vodafone,10.72.0.0,10.75.255.255
724,Vodafone,10.255.0.0,10.255.255.255
725,Vodafone,10.254.0.0,10.254.255.255
726,Vodafone,10.232.0.0,10.239.255.255
727,Vodafone,10.228.0.0,10.231.255.255
728,Vodafone,10.224.0.0,10.227.255.255
729,Vodafone,10.21.0.0,10.21.255.255
730,Vodafone,10.208.0.0,10.223.255.255
731,Vodafone,10.204.0.0,10.207.255.255
732,Vodafone,10.202.0.0,10.203.255.255
733,Vodafone,10.200.0.0,10.201.255.255
734,Vodafone,10.196.0.0,10.199.255.255
735,Vodafone,10.192.0.0,10.195.255.255
736,Vodafone,10.176.0.0,10.191.255.255
737,Vodafone,10.170.128.0,10.170.255.255
738,Vodafone,10.165.0.0,10.165.255.255
739,Vodafone,10.164.128.0,10.164.255.255
740,Vodafone,10.152.0.0,10.152.255.255
741,Vodafone,10.151.0.0,10.151.255.255
742,Vodafone,10.148.0.0,10.148.255.255
743,Vodafone,10.125.0.0,10.125.255.255
744,Vodafone,10.124.0.0,10.124.255.255
745,Vodafone,10.123.0.0,10.123.255.255
746,Vodafone,10.122.128.0,10.122.255.255
747,Vodafone,10.122.0.0,10.122.127.255
748,Vodafone,10.122.0.0,10.122.255.255
749,Vodafone,10.121.0.0,10.121.255.255
750,Vodafone,10.120.0.0,10.121.255.255
751,Vodafone,10.112.0.0,10.115.255.255
752,Vodafone,1.39.128.0,1.39.255.255
753,Vodafone,1.39.0.0,1.39.127.255
754,Vodafone,1.38.96.0,1.38.127.255
755,Vodafone,1.38.8.0,1.38.9.255
756,Vodafone,1.38.32.0,1.38.63.255
757,Vodafone,1.38.248.0,1.38.255.255
758,Vodafone,1.38.16.0,1.38.23.255
759,Vodafone,1.38.128.0,1.38.255.255
760,Vodafone,1.38.128.0,1.38.159.255
761,Vodafone,1.38.12.0,1.38.15.255
762,Vodafone,1.38.10.0,1.38.10.15
763,Vodafone,1.38.0.0,1.39.255.255
